Company,9/30/2008
BROOKDALE SENIOR LIVING INC,-0.3
BROOKFIELD ASSET MANAGEMENT INC,-11.3
BROOKLINE BANCORP INC,24.4
BROOKS AUTOMATION INC,-13.0
BROWN & BROWN INC,6.4
BROWN FORMAN CORP,-1.4
BROWN FORMAN CORP,0.2
BROWN SHOE CO INC NEW,8.2
BRUKER BIOSCIENCES CORP,-13.7
BRUNSWICK CORP,-7.3
BRUSH ENGINEERED MATERIALS INC,-36.6
BRYN MAWR BANK CORP,-0.8
BSQUARE CORP,-2.1
BUCKEYE PARTNERS L P,-14.4
BUCKLE INC,7.0
BUFFALO WILD WINGS INC,11.5
BUILD A BEAR WORKSHOP INC,-1.9
BUILDERS FIRSTSOURCE INC,18.1
BUNGE LTD,-29.3
C & F FINANCIAL CORP,-7.4
C A E INC,-23.0
C A INC,-16.4
C A S MEDICAL SYSTEMS INC,20.1
C B L & ASSOCIATES PPTYS INC,-4.9
C B R E GROUP INC,2.3
C B R L GROUP INC,1.8
C B S CORP NEW,-9.6
C B S CORP NEW,-9.9
C C A INDUSTRIES INC,-14.8
C D I CORP,-11.0
C E B INC,-12.9
C E C O ENVIRONMENTAL CORP,-16.8
C F INDUSTRIES HOLDINGS INC,-40.0
C G G,-22.7
C I G N A CORP,-18.9
C I M COMMERCIAL TRUST CORP,-8.2
C K X LANDS INC,-8.4
C M E GROUP INC,12.6
C M G I INC,-18.5
C M S ENERGY CORP,-8.1
C N A FINANCIAL CORP,-6.4
C N B FINANCIAL CORP PA,-18.1
C N O FINANCIAL GROUP INC,-60.8
C N O O C LTD,-24.8
C P F L ENERGIA S A,-11.2
C P I AEROSTRUCTURES INC,-3.0
C R A INTERNATIONAL INC,-31.1
C R H PLC,-18.1
C S G SYSTEMS INTERNATIONAL INC,-7.2
C S P INC,-13.0
C S S INDUSTRIES INC,-3.4
C S X CORP,-15.6
C T I BIOPHARMA CORP,-68.4
C T I INDUSTRIES CORP,0.0
C T S CORP,-3.2
C V B FINANCIAL CORP,30.1
C V D EQUIPMENT CORP,-17.6
C V S CAREMARK CORP,-8.0
CABELAS INC,-1.4
CABELTEL INTL CORP,26.1
CABOT CORP,14.9
CABOT MICROELECTRONICS CORP,-16.9
CABOT OIL & GAS CORP,-18.7
CACI INTERNATIONAL INC,-1.1
CADENCE DESIGN SYSTEMS INC,-15.4
CADIZ INC,-2.3
CAL MAINE FOODS INC,-30.5
CALAMOS ASSET MANAGEMENT INC,-16.4
CALAMOS CONV OPPORT & IN FD,-19.0
CALAMOS CONVERTIBLE & HI INC FD,-22.8
CALAMOS GLOBAL TOTAL RETURN FUND,-20.9
CALAMOS STRATEGIC TOT RETURN FD,-19.4
CALAMP CORP,-34.0
CALATLANTIC GROUP INC,53.4
CALAVO GROWERS INC,2.6
CALGON CARBON CORP,-4.5
CALIFORNIA FIRST NATIONAL BANCOR,-12.2
CALIFORNIA WATER SERVICE GROUP,-2.0
CALLAWAY GOLF CO,4.1
CALLIDUS SOFTWARE INC,-16.6
CALLON PETROLEUM CO DEL,-9.3
CALUMET SPECIALTY PRODS PTNRS LP,-13.6
CAMBREX CORP,-5.5
CAMDEN NATIONAL CORP,7.9
CAMDEN PROPERTY TRUST,-4.6
CAMECO CORP,-25.6
CAMPBELL SOUP CO,4.9
CAMTEK LTD,-6.7
CANADIAN IMPERIAL BANK COMMERCE,-0.5
CANADIAN NATIONAL RAILWAY CO,-8.5
CANADIAN NATURAL RESOURCES LTD,-19.4
CANADIAN PACIFIC RAILWAY LTD,-10.9
CANADIAN SOLAR INC,-39.8
CANON INC,-15.6
CANTEL MEDICAL CORP,0.3
CANTERBURY PARK HOLDING CORP,-12.7
CAPELLA EDUCATION CO,-13.8
CAPITAL CITY BANK GROUP,30.1
CAPITAL ONE FINANCIAL CORP,15.5
CAPITAL SENIOR LIVING CORP,-3.4
CAPITAL SOUTHWEST CORP,6.2
CAPITOL FEDERAL FINANCIAL,1.4
CAPSTEAD MORTGAGE CORP,-2.0
CAPSTONE TURBINE CORP,-52.6
CARBO CERAMICS INC,-14.1
CARDICA INC,0.0
CARDINAL FINANCIAL CORP,-4.8
CARDINAL HEALTH INC,-10.1
CARDIOME PHARMA CORP,-13.5
CARDIOVASCULAR SYSTEMS INC DEL,-2.4
CAREER EDUCATION CORP,-12.8
CARLISLE COMPANIES,-7.5
CARMAX INC,-5.4
CARNIVAL CORP,-4.6
CARNIVAL PLC,-10.6
CAROLINA BANK HOLDINGS INC,-3.3
CAROLINA TRUST BANCSHARES INC,8.2
CARPENTER TECHNOLOGY CORP,-33.9
CARRIAGE SERVICES INC,-19.5
CARRIZO OIL & GAS INC,-26.9
CARROLS RESTAURANT GROUP INC,-47.4
CARTERS INC,7.2
CARTESIAN INC,-16.7
CARVER BANCORP INC,-12.2
CASCADE BANCORP,11.4
CASELLA WASTE SYSTEMS INC,-11.8
CASEYS GENERAL STORES INC,4.0
CASI PHARMACEUTICALS INC,-21.3
CASS INFORMATION SYSTEMS INC,-1.2
CASTLE BRANDS INC,-18.5
CASUAL MALE RETAIL GROUP INC,2.9
CATALYST BIOSCIENCES INC,-36.5
