Year,Index,Return
3/1/1994,18822,-4.5
4/1/1994,19001,1
5/1/1994,19170,0.9
6/1/1994,18649,-2.7
7/1/1994,19227,3.1
8/1/1994,20069,4.4
9/1/1994,19679,-1.9
10/1/1994,20018,1.7
11/1/1994,19283,-3.7
12/1/1994,19534,1.3
1/1/1995,19968,2.2
2/1/1995,20772,4
3/1/1995,21323,2.7
4/1/1995,21867,2.6
5/1/1995,22619,3.4
6/1/1995,23340,3.2
7/1/1995,24314,4.2
8/1/1995,24562,1
9/1/1995,25490,3.8
10/1/1995,25222,-1.1
11/1/1995,26327,4.4
12/1/1995,26727,1.5
1/1/1996,27446,2.7
2/1/1996,27918,1.7
3/1/1996,28231,1.1
4/1/1996,28942,2.5
5/1/1996,29747,2.8
6/1/1996,29527,-0.7
7/1/1996,27897,-5.5
8/1/1996,28784,3.2
9/1/1996,30353,5.5
10/1/1996,30741,1.3
11/1/1996,32789,6.7
12/1/1996,32382,-1.2
1/1/1997,34144,5.4
2/1/1997,34110,-0.1
3/1/1997,32541,-4.6
4/1/1997,33995,4.5
5/1/1997,36453,7.2
6/1/1997,38082,4.5
7/1/1997,41038,7.8
8/1/1997,39503,-3.7
9/1/1997,41790,5.8
10/1/1997,40378,-3.4
11/1/1997,41738,3.4
12/1/1997,42490,1.8
1/1/1998,42736,0.6
2/1/1998,45911,7.4
3/1/1998,48276,5.2
4/1/1998,48836,1.2
5/1/1998,47532,-2.7
6/1/1998,49238,3.6
7/1/1998,48224,-2.1
8/1/1998,40677,-15.7
9/1/1998,43366,6.6
10/1/1998,46596,7.5
11/1/1998,49583,6.4
12/1/1998,52826,6.5
1/1/1999,54860,3.9
2/1/1999,52813,-3.7
3/1/1999,54863,3.9
4/1/1999,57441,4.7
5/1/1999,56223,-2.1
6/1/1999,59130,5.2
7/1/1999,57291,-3.1
8/1/1999,56724,-1
9/1/1999,55363,-2.4
10/1/1999,58967,6.5
11/1/1999,61166,3.7
12/1/1999,66157,8.2
1/1/2000,63293,-4.3
2/1/2000,65116,2.9
3/1/2000,68808,5.7
4/1/2000,64720,-5.9
5/1/2000,62183,-3.9
6/1/2000,65317,5
7/1/2000,63991,-2
8/1/2000,68810,7.5
9/1/2000,65411,-4.9
10/1/2000,63972,-2.2
11/1/2000,57440,-10.2
12/1/2000,58411,1.7
1/1/2001,60555,3.7
2/1/2001,54699,-9.7
3/1/2001,50958,-6.8
4/1/2001,55202,8.3
5/1/2001,55776,1
6/1/2001,54851,-1.7
7/1/2001,53847,-1.8
8/1/2001,50535,-6.2
9/1/2001,46002,-9
10/1/2001,47235,2.7
11/1/2001,50877,7.7
12/1/2001,51767,1.8
1/1/2002,51094,-1.3
2/1/2002,49991,-2.2
3/1/2002,52175,4.4
4/1/2002,49540,-5.1
5/1/2002,48926,-1.2
6/1/2002,45462,-7.1
7/1/2002,41812,-8
8/1/2002,42079,0.6
9/1/2002,37783,-10.2
10/1/2002,40798,8
11/1/2002,43278,6.1
12/1/2002,40833,-5.7
1/1/2003,39825,-2.5
2/1/2003,39112,-1.8
3/1/2003,39577,1.2
4/1/2003,42870,8.3
5/1/2003,45502,6.1
6/1/2003,46194,1.5
7/1/2003,47312,2.4
8/1/2003,48452,2.4
9/1/2003,47890,-1.2
10/1/2003,50835,6.2
11/1/2003,51557,1.4
12/1/2003,53810,4.4
1/1/2004,55005,2.2
2/1/2004,55808,1.5
3/1/2004,55121,-1.2
4/1/2004,54157,-1.8
5/1/2004,54823,1.2
6/1/2004,55886,1.9
7/1/2004,53673,-4
8/1/2004,53775,0.2
9/1/2004,54695,1.7
10/1/2004,55537,1.5
11/1/2004,58142,4.7
12/1/2004,60229,3.6
1/1/2005,58663,-2.6
2/1/2005,59866,2.1
3/1/2005,58812,-1.8
4/1/2005,57401,-2.4
5/1/2005,59633,3.9
6/1/2005,60110,0.8
7/1/2005,62611,4.2
8/1/2005,62035,-0.9
9/1/2005,62519,0.8
